Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Исаков Евгений,МС,1981,Калининградская область,мужчины,10000,6085,10000,7800,10000,6085,5685,55655
2,Илясов Дмитрий,МС,1989,Санкт-Петербург,мужчины,0,10000,7800,10000,7800,0,10000,45600
3,Новожилов Данила,2,1988,Санкт-Петербург,мужчины,7800,4745,3320,3320,4745,4745,1900,30575
4,Филинов Даниил,КМС,1985,Приморский край,мужчины,0,0,4745,5685,3320,10000,4745,28495
5,Копров Павел,2,1990,Санкт-Петербург,мужчины,3320,3320,0,4745,3320,4745,3320,22770
6,Вахрушев Владимир,2,1994,Санкт-Петербург,мужчины,0,0,3320,0,4745,5685,7800,21550
7,Фомин Максим,3,1982,Московская область,мужчины,0,0,6085,0,4745,7800,0,18630
8,Трофимов Владимир,1,1985,Санкт-Петербург,мужчины,0,4745,4745,4745,3320,0,0,17555
9,Каптелов Петр,1,1981,Калининградская область,мужчины,0,0,0,0,6085,4745,3320,14150
10,Ременников Константин,1,1984,Приморский край,мужчины,0,0,0,0,4745,3320,4745,12810
