Rank,Name,Sport Rank,Birthday,Region,Category,2022,2023,2024,Total Points
1,Тихонова Анна,КМС,1997,Калининградская область,женщины,7800,10000,10000,27800
2,Матвеева Анна,КМС,1985,Калининградская область,женщины,5685,7800,5685,19170
3,Позняк Анна,1,1985,Москва,женщины,4745,6085,4745,15575
4,Вяткина Анна,3,1997,Сахалинская область,женщины,0,4745,6085,10830
5,Второва Елена,КМС,1989,Москва,женщины,10000,0,0,10000
6,Тихолаз Ульяна,2,1993,Санкт-Петербург,женщины,4745,3320,0,8065
7,Силютина Алина,3,1996,Приморский край,женщины,3320,4745,0,8065
8,Бланк Мария,2,1992,Калининградская область,женщины,0,0,7800,7800
9,Рудик Майи,КМС,1984,Москва,женщины,0,3320,3320,6640
10,Пыжова Алена,3,1988,Санкт-Петербург,женщины,0,3320,3320,6640
